,District ID,Month ID,Cases
0,AP_Anantapur,2,118
1,AP_Anantapur,3,345
2,AP_Anantapur,4,3188
3,AP_Anantapur,5,24445
4,AP_Anantapur,6,21693
5,AP_Anantapur,7,11821
6,AP_Anantapur,8,4493
7,AP_Anantapur,9,911
8,AP_Anantapur,10,535
9,AP_Anantapur,11,146
10,AP_Anantapur,12,162
11,AP_Anantapur,13,2224
12,AP_Anantapur,14,37805
13,AP_Anantapur,15,41980
14,AP_Anantapur,16,5409
15,AP_Anantapur,17,1496
16,AP_Chittoor,2,151
17,AP_Chittoor,3,202
18,AP_Chittoor,4,2721
19,AP_Chittoor,5,18445
20,AP_Chittoor,6,28627
21,AP_Chittoor,7,21579
22,AP_Chittoor,8,10250
23,AP_Chittoor,9,2914
24,AP_Chittoor,10,1810
25,AP_Chittoor,11,510
26,AP_Chittoor,12,861
27,AP_Chittoor,13,8103
28,AP_Chittoor,14,54995
29,AP_Chittoor,15,57810
30,AP_Chittoor,16,16513
31,AP_Chittoor,17,9380
32,AP_East Godavari,2,51
33,AP_East Godavari,3,301
34,AP_East Godavari,4,2763
35,AP_East Godavari,5,35177
36,AP_East Godavari,6,39928
37,AP_East Godavari,7,29668
38,AP_East Godavari,8,12414
39,AP_East Godavari,9,2714
40,AP_East Godavari,10,1011
41,AP_East Godavari,11,333
42,AP_East Godavari,12,286
43,AP_East Godavari,13,2460
44,AP_East Godavari,14,49697
45,AP_East Godavari,15,71663
46,AP_East Godavari,16,22683
47,AP_East Godavari,17,11240
48,AP_Guntur,2,404
49,AP_Guntur,3,219
50,AP_Guntur,4,2733
51,AP_Guntur,5,21584
52,AP_Guntur,6,21064
53,AP_Guntur,7,14953
54,AP_Guntur,8,9833
55,AP_Guntur,9,3178
56,AP_Guntur,10,1275
57,AP_Guntur,11,372
58,AP_Guntur,12,296
59,AP_Guntur,13,7606
60,AP_Guntur,14,46209
61,AP_Guntur,15,27837
62,AP_Guntur,16,7853
63,AP_Guntur,17,5077
64,AP_Krishna,2,351
65,AP_Krishna,3,350
66,AP_Krishna,4,2043
67,AP_Krishna,5,9039
68,AP_Krishna,6,9692
69,AP_Krishna,7,11435
70,AP_Krishna,8,10134
71,AP_Krishna,9,3677
72,AP_Krishna,10,1564
