,District ID,Cases
0,AP_Anantapur,156771
1,AP_Chittoor,234871
2,AP_East Godavari,282389
3,AP_Guntur,170493
4,AP_Krishna,111599
5,AP_Kurnool,123572
6,AP_Prakasam,131787
7,AP_S.P.S. Nellore,137357
8,AP_Srikakulam,121390
9,AP_Visakhapatnam,153698
10,AP_Vizianagaram,81776
11,AP_West Godavari,171987
12,AP_Y.S.R. Kadapa,111606
13,AR_Anjaw,994
14,AR_Changlang,3655
15,AR_East Kameng,1071
16,AR_East Siang,2963
17,AR_Kamle,478
18,AR_Kra Daadi,260
19,AR_Kurung Kumey,507
20,AR_Lepa Rada,792
21,AR_Lohit,2688
22,AR_Longding,731
23,AR_Lower Dibang Valley,2168
24,AR_Lower Siang,709
25,AR_Lower Subansiri,2647
26,AR_Namsai,1969
27,AR_Papum Pare,17303
28,AR_Shi Yomi,224
29,AR_Siang,393
30,AR_Tawang,2299
31,AR_Tirap,1008
32,AR_Upper Dibang Valley,290
33,AR_Upper Siang,896
34,AR_Upper Subansiri,1914
35,AR_West Kameng,3207
36,AR_West Siang,1738
37,AS_Dibrugarh,0
38,AS_Udalguri,0
39,BR_Araria,14963
40,BR_Arwal,7379
41,BR_Aurangabad,154611
42,BR_Banka,7379
43,BR_Begusarai,27183
44,BR_Bhagalpur,25827
45,BR_Bhojpur,10174
46,BR_Buxar,9248
47,BR_Darbhanga,10908
48,BR_East Champaran,19000
49,BR_Gaya,33940
50,BR_Gopalganj,16671
51,BR_Jamui,9413
52,BR_Jehanabad,10774
53,BR_Kaimur,4983
54,BR_Katihar,18129
55,BR_Khagaria,10057
56,BR_Kishanganj,10107
57,BR_Lakhisarai,7771
58,BR_Madhepura,12523
59,BR_Madhubani,18339
60,BR_Munger,15102
61,BR_Muzaffarpur,31382
62,BR_Nalanda,23424
63,BR_Nawada,10345
64,BR_Patna,146846
65,BR_Purnia,24413
66,BR_Rohtas,13962
67,BR_Saharsa,17592
68,BR_Samastipur,19988
69,BR_Saran,23267
70,BR_Sheikhpura,7690
71,BR_Sheohar,4397
72,BR_Sitamarhi,9174
73,BR_Siwan,15195
74,BR_Supaul,17205
75,BR_Vaishali,19809
76,BR_West Champaran,20886
77,CH_Chandigarh,62028
78,CT_Balod,27258
79,CT_Baloda Bazar,43007
80,CT_Balrampur,7487
81,CT_Bametara,19945
82,CT_Bastar,20953
83,CT_Bijapur,8269
84,CT_Bilaspur,13165
85,CT_Dakshin Bastar Dantewada,10754
86,CT_Dhamtari,27197
87,CT_Durg,96652
88,CT_Gariaband,19673
89,CT_Jashpur,26950
90,CT_Kabeerdham,22770
91,CT_Kondagaon,13072
92,CT_Korba,54592
93,CT_Koriya,26923
94,CT_Mahasamund,31324
95,CT_Mungeli,23893
96,CT_Narayanpur,4006
97,CT_Raigarh,62486
98,CT_Raipur,157803
99,CT_Rajnandgaon,56012
100,CT_Sukma,7975
101,CT_Surajpur,29016
102,CT_Surguja,33641
103,CT_Uttar Bastar Kanker,23542
104,DN_Dadra and Nagar Haveli,5905
105,DN_Daman,3535
106,DN_Diu,1218
107,GJ_Ahmedabad,238044
108,GJ_Amreli,10806
109,GJ_Anand,9624
110,GJ_Aravalli,5184
111,GJ_Banaskantha,13631
112,GJ_Bharuch,11425
113,GJ_Bhavnagar,21413
114,GJ_Botad,2218
115,GJ_Chhota Udaipur,3395
116,GJ_Dahod,9944
117,GJ_Dang,864
118,GJ_Devbhumi Dwarka,4173
119,GJ_Gandhinagar,20741
120,GJ_Gir Somnath,8557
121,GJ_Jamnagar,34951
122,GJ_Junagadh,20470
123,GJ_Kheda,10422
124,GJ_Kutch,12587
125,GJ_Mahisagar,8192
126,GJ_Mehsana,24414
127,GJ_Morbi,6502
128,GJ_Narmada,5952
129,GJ_Navsari,7156
130,GJ_Panchmahal,11770
131,GJ_Patan,11624
132,GJ_Porbandar,3477
133,GJ_Rajkot,57925
134,GJ_Sabarkantha,9314
135,GJ_Surat,143502
136,GJ_Surendranagar,8121
137,GJ_Tapi,4438
138,GJ_Vadodara,77924
139,GJ_Valsad,6244
140,HP_Chamba,12993
141,HP_Hamirpur,5230
142,HP_Kangra,46992
143,HP_Kinnaur,3348
144,HP_Kullu,9321
145,HP_Lahaul and Spiti,2829
146,HP_Mandi,28890
147,HP_Shimla,26157
148,HP_Sirmaur,15404
149,HP_Solan,22476
150,HP_Una,13503
