Dist code,Total,male,female
AP_Anantapur,4081148,2064495,2016653
AP_Chittoor,4174064,2090204,2083860
AP_East Godavari,5154296,2569688,2584608
AP_Guntur,4887813,2440521,2447292
AP_Krishna,4517398,2267375,2250023
AP_Kurnool,4053463,2039227,2014236
AP_Prakasam,3397448,1714764,1682684
AP_Srikakulam,2703114,1341738,1361376
AP_Visakhapatnam,4290589,2138910,2151679
AP_Vizianagaram,2344474,1161477,1182997
AP_West Godavari,3936966,1964918,1972048
AP_Y.S.R. Kadapa,2882469,1451777,1430692
AR_Anjaw,21167,11507,9660
AR_Changlang,148226,76948,71278
AR_East Kameng,78690,38775,39915
AR_East Siang,99214,50116,49098
AR_Kurung Kumey,92076,45318,46758
AR_Lohit,145726,76221,69505
AR_Lower Dibang Valley,54080,28053,26027
AR_Lower Subansiri,83030,41843,41187
AR_Papum Pare,176573,89182,87391
AR_Tawang,49977,29151,20826
AR_Tirap,111975,57604,54371
AR_Upper Dibang Valley,8004,4414,3590
AR_Upper Siang,35320,18699,16621
AR_Upper Subansiri,83448,41758,41690
AR_West Kameng,83947,46155,37792
AR_West Siang,112274,58168,54106
AS_Baksa,950075,481330,468745
AS_Barpeta,1693622,867004,826618
AS_Bongaigaon,738804,375818,362986
AS_Cachar,1736617,886284,850333
AS_Chirang,482162,244860,237302
AS_Darrang,928500,475273,453227
AS_Dhemaji,686133,351249,334884
AS_Dhubri,1949258,997848,951410
AS_Dibrugarh,1326335,676434,649901
AS_Dima Hasao,214102,110802,103300
AS_Goalpara,1008183,513292,494891
AS_Golaghat,1066888,543161,523727
AS_Hailakandi,659296,337890,321406
AS_Jorhat,1092256,556805,535451
AS_Kamrup,1517542,778461,739081
AS_Kamrup Metropolitan,1253938,647585,606353
AS_Karbi Anglong,956313,490167,466146
AS_Karimganj,1228686,625864,602822
AS_Kokrajhar,887142,452905,434237
AS_Lakhimpur,1042137,529674,512463
AS_Morigaon,957423,486651,470772
AS_Nagaon,2823768,1439112,1384656
AS_Nalbari,771639,396006,375633
AS_Sivasagar,1151050,589216,561834
AS_Sonitpur,1924110,983904,940206
AS_Tinsukia,1327929,680231,647698
AS_Udalguri,831668,421617,410051
BR_Araria,2811569,1463333,1348236
BR_Arwal,700843,363497,337346
BR_Aurangabad,2540073,1318684,1221389
BR_Banka,2034763,1067140,967623
BR_Begusarai,2970541,1567660,1402881
BR_Bhagalpur,3037766,1615663,1422103
BR_Bhojpur,2728407,1430380,1298027
BR_Buxar,1706352,887977,818375
BR_Darbhanga,3937385,2059949,1877436
BR_East Champaran,5099371,2681209,2418162
BR_Gaya,4391418,2266566,2124852
BR_Gopalganj,2562012,1267666,1294346
BR_Jamui,1760405,916064,844341
BR_Jehanabad,1125313,585582,539731
BR_Kaimur,1626384,847006,779378
BR_Katihar,3071029,1600430,1470599
BR_Khagaria,1666886,883786,783100
BR_Kishanganj,1690400,866970,823430
BR_Lakhisarai,1000912,526345,474567
BR_Madhepura,2001762,1047559,954203
BR_Madhubani,4487379,2329313,2158066
BR_Munger,1367765,729041,638724
BR_Muzaffarpur,4801062,2527497,2273565
BR_Nalanda,2877653,1497060,1380593
BR_Nawada,2219146,1144668,1074478
BR_Patna,5838465,3078512,2759953
BR_Purnia,3264619,1699370,1565249
BR_Rohtas,2959918,1543546,1416372
BR_Saharsa,1900661,997174,903487
BR_Samastipur,4261566,2230003,2031563
BR_Saran,3951862,2022821,1929041
BR_Sheikhpura,636342,329743,306599
BR_Sheohar,656246,346673,309573
BR_Sitamarhi,3423574,1803252,1620322
BR_Siwan,3330464,1675090,1655374
BR_Supaul,2229076,1155283,1073793
BR_Vaishali,3495021,1844535,1650486
BR_West Champaran,3935042,2061110,1873932
CH_Chandigarh,1055450,580663,474787
CT_Balrampur,2148665,1114721,1033944
CT_Bastar,1413199,698487,714712
CT_Bijapur,255230,128663,126567
CT_Bilaspur,381956,192764,189192
CT_Dakshin Bastar Dantewada,533638,264142,269496
CT_Dhamtari,799781,397897,401884
CT_Durg,3343872,1682101,1661771
CT_Jashpur,851669,424747,426922
CT_Kabeerdham,822526,412058,410468
CT_Korba,1206640,612915,593725
CT_Koriya,658917,334737,324180
CT_Mahasamund,1032754,511967,520787
CT_Narayanpur,139820,70104,69716
CT_Raigarh,1493984,750278,743706
CT_Raipur,4063872,2048186,2015686
CT_Rajnandgaon,1537133,762855,774278
CT_Surguja,2359886,1193129,1166757
CT_Uttar Bastar Kanker,748941,373338,375603
DL_Central Delhi,582320,307821,274499
DL_East Delhi,1709346,907500,801846
DL_New Delhi,142004,77942,64062
DL_North Delhi,887978,475002,412976
DL_North East Delhi,2241624,1188425,1053199
DL_North West Delhi,3656539,1960922,1695617
DL_South Delhi,2731929,1467428,1264501
DL_South West Delhi,2292958,1246046,1046912
DL_West Delhi,2543243,1356240,1187003
DN_Daman,191173,124659,66514
DN_Diu,52074,25642,26432
GA_North Goa,818008,416677,401331
GA_South Goa,640537,322463,318074
GJ_Ahmedabad,7214225,3788051,3426174
GJ_Amreli,1514190,771049,743141
GJ_Anand,2092745,1087224,1005521
GJ_Banaskantha,3120506,1610379,1510127
GJ_Bharuch,1551019,805707,745312
GJ_Bhavnagar,2880365,1490201,1390164
GJ_Dahod,2127086,1068651,1058435
GJ_Dang,228291,113821,114470
GJ_Gandhinagar,1391753,723864,667889
GJ_Jamnagar,2160119,1114192,1045927
GJ_Junagadh,2743082,1404356,1338726
GJ_Kheda,2299885,1185727,1114158
GJ_Kutch,2092371,1096737,995634
GJ_Mehsana,2035064,1056520,978544
GJ_Narmada,590297,301086,289211
