districtid,wave1 − weekid,wave2 − weekid,wave1 − monthid,wave2 − monthid
AP_Anantapur,40,122,4,14
AP_Chittoor,42,122,4,14
AP_East Godavari,42,122,4,14
AP_Guntur,38,120,4,14
AP_Krishna,40,118,4,14
AP_Kurnool,42,118,4,14
AP_Prakasam,42,118,4,14
AP_S.P.S. Nellore,41,120,4,14
AP_Srikakulam,40,118,4,14
AP_Visakhapatnam,40,122,4,14
AP_Vizianagaram,40,118,4,14
AP_West Godavari,42,122,4,14
AP_Y.S.R. Kadapa,40,120,4,14
AR_Anjaw,42,122,4,14
AR_Changlang,39,124,3,14
AR_East Kameng,41,128,4,14
AR_East Siang,40,125,4,14
AR_Lepa Rada,34,126,4,14
AR_Lohit,42,127,4,14
AR_Longding,39,129,4,14
AR_Lower Dibang Valley,42,116,4,14
AR_Lower Siang,40,119,4,14
AR_Lower Subansiri,39,126,4,14
AR_Namsai,41,125,4,14
AR_Papum Pare,36,124,4,14
AR_Siang,34,125,4,14
AR_Tawang,38,124,3,14
AR_Tirap,38,118,4,14
AR_Upper Siang,38,123,3,14
AR_Upper Subansiri,43,122,4,14
AR_West Kameng,43,126,4,14
AR_West Siang,42,121,3,14
BR_Araria,43,120,4,14
BR_Arwal,41,118,4,14
BR_Aurangabad,38,116,4,13
BR_Banka,41,117,3,14
BR_Begusarai,42,116,4,14
BR_Bhagalpur,42,116,4,14
BR_Bhojpur,38,114,4,14
BR_Buxar,42,116,4,14
BR_Darbhanga,43,118,4,14
BR_East Champaran,42,120,4,14
BR_Gaya,42,116,4,14
BR_Gopalganj,42,120,4,14
BR_Jamui,38,118,4,14
BR_Jehanabad,43,116,4,14
BR_Kaimur,43,116,4,14
BR_Katihar,41,120,4,14
BR_Khagaria,39,120,3,14
BR_Kishanganj,42,122,4,14
BR_Lakhisarai,42,116,4,14
BR_Madhepura,43,118,4,14
BR_Madhubani,43,118,4,14
BR_Munger,42,119,4,14
BR_Muzaffarpur,42,118,4,14
BR_Nalanda,38,118,4,14
BR_Nawada,34,116,4,14
BR_Patna,42,114,4,14
BR_Purnia,43,116,3,14
BR_Rohtas,42,116,4,14
BR_Saharsa,42,118,4,14
BR_Samastipur,42,120,4,14
BR_Saran,42,116,4,14
BR_Sheikhpura,41,118,3,14
BR_Sheohar,42,118,3,14
BR_Sitamarhi,43,118,3,14
BR_Siwan,34,118,4,14
BR_Supaul,42,116,4,14
BR_Vaishali,42,118,4,14
BR_West Champaran,42,118,4,14
CH_Chandigarh,42,118,4,14
CT_Balod,43,116,3,14
CT_Baloda Bazar,38,116,4,14
CT_Balrampur,43,115,4,14
CT_Bametara,42,116,4,14
CT_Bastar,40,116,4,14
CT_Bijapur,42,128,4,14
CT_Bilaspur,40,120,3,14
CT_Dakshin Bastar Dantewada,36,118,4,14
CT_Dhamtari,41,116,4,14
