districtid,monthid,dose 1,dose 2
AN_Nicobars,10,360,0
AN_Nicobars,11,387,304
AN_Nicobars,12,4893,227
AN_Nicobars,13,2713,1356
AN_Nicobars,14,429,19
AN_Nicobars,15,8724,4665
AN_Nicobars,16,4575,1539
AN_North and Middle Andaman,10,1113,0
AN_North and Middle Andaman,11,904,942
AN_North and Middle Andaman,12,13204,545
AN_North and Middle Andaman,13,14791,1725
AN_North and Middle Andaman,14,3629,80
AN_North and Middle Andaman,15,17273,20461
AN_North and Middle Andaman,16,17129,5528
AN_South Andaman,10,1567,0
AN_South Andaman,11,7118,1522
AN_South Andaman,12,20108,2401
AN_South Andaman,13,32532,5786
AN_South Andaman,14,12884,465
AN_South Andaman,15,34384,29158
AN_South Andaman,16,33992,20564
AP_Anantapur,10,15323,730
AP_Anantapur,11,37664,12739
AP_Anantapur,12,247138,19856
AP_Anantapur,13,145179,138488
AP_Anantapur,14,255680,31260
AP_Anantapur,15,331417,101799
AP_Anantapur,16,331973,292474
AP_Chittoor,10,30004,340
AP_Chittoor,11,51481,21464
AP_Chittoor,12,301198,29836
AP_Chittoor,13,142743,138756
AP_Chittoor,14,290964,46657
AP_Chittoor,15,344063,84497
AP_Chittoor,16,405138,319314
AP_East Godavari,10,40366,301
AP_East Godavari,11,57430,25601
AP_East Godavari,12,284349,39754
AP_East Godavari,13,117227,139769
AP_East Godavari,14,449337,49546
AP_East Godavari,15,459931,110817
AP_East Godavari,16,518850,186685
AP_Guntur,10,22279,1086
AP_Guntur,11,53718,17868
AP_Guntur,12,259840,33024
AP_Guntur,13,161797,112864
AP_Guntur,14,368959,65573
AP_Guntur,15,464820,115211
AP_Guntur,16,427122,246815
AP_Krishna,10,24659,525
AP_Krishna,11,47857,20469
AP_Krishna,12,289038,25617
AP_Krishna,13,133678,142162
AP_Krishna,14,440711,68656
AP_Krishna,15,375048,131110
AP_Krishna,16,445270,169050
AP_Kurnool,10,21404,507
AP_Kurnool,11,30493,15074
AP_Kurnool,12,238431,20149
AP_Kurnool,13,99290,117334
AP_Kurnool,14,261402,26473
AP_Kurnool,15,284107,73875
AP_Kurnool,16,307565,239216
AP_Prakasam,10,21893,137
AP_Prakasam,11,26572,10598
AP_Prakasam,12,220967,23417
AP_Prakasam,13,106198,107527
AP_Prakasam,14,290723,53990
AP_Prakasam,15,321230,62132
AP_Prakasam,16,244329,257990
AP_S.P.S. Nellore,10,32205,656
AP_S.P.S. Nellore,11,41369,23078
AP_S.P.S. Nellore,12,208389,34130
AP_S.P.S. Nellore,13,109506,117798
AP_S.P.S. Nellore,14,260743,25673
AP_S.P.S. Nellore,15,260949,148451
AP_S.P.S. Nellore,16,244915,178903
AP_Srikakulam,10,25982,713
AP_Srikakulam,11,31735,19604
AP_Srikakulam,12,180152,18037
AP_Srikakulam,13,79204,73897
AP_Srikakulam,14,273621,19623
AP_Srikakulam,15,263582,87996
AP_Srikakulam,16,174293,117102
AP_Visakhapatnam,10,28630,241
AP_Visakhapatnam,11,53082,23442
AP_Visakhapatnam,12,283951,31362
AP_Visakhapatnam,13,144540,127856
AP_Visakhapatnam,14,452250,49829
AP_Visakhapatnam,15,453246,109245
AP_Visakhapatnam,16,459875,281184
AP_Vizianagaram,10,14857,342
AP_Vizianagaram,11,22691,12208
AP_Vizianagaram,12,163208,14968
AP_Vizianagaram,13,64345,69226
AP_Vizianagaram,14,215990,14838
AP_Vizianagaram,15,223189,47235
AP_Vizianagaram,16,216806,61200
AP_West Godavari,10,20160,104
AP_West Godavari,11,47196,17098
AP_West Godavari,12,219748,34808
AP_West Godavari,13,104282,109868
AP_West Godavari,14,400025,55813
AP_West Godavari,15,451595,55349
AP_West Godavari,16,399541,158923
AP_Y.S.R. Kadapa,10,15747,552
AP_Y.S.R. Kadapa,11,34619,11892
AP_Y.S.R. Kadapa,12,227708,22896
AP_Y.S.R. Kadapa,13,93022,115574
AP_Y.S.R. Kadapa,14,248502,31663
AP_Y.S.R. Kadapa,15,274484,85325
AP_Y.S.R. Kadapa,16,149352,127378
AR_Anjaw,10,387,0
AR_Anjaw,11,391,288
AR_Anjaw,12,971,325
AR_Anjaw,13,1253,625
AR_Anjaw,14,2368,21
AR_Anjaw,15,4370,334
AR_Anjaw,16,1182,956
AR_Changlang,10,968,0
AR_Changlang,11,2114,813
AR_Changlang,12,7617,1387
AR_Changlang,13,8032,2038
AR_Changlang,14,11005,396
AR_Changlang,15,35250,4923
AR_Changlang,16,10604,7349
AR_East Kameng,10,260,0
AR_East Kameng,11,676,256
AR_East Kameng,12,2351,516
AR_East Kameng,13,3264,1049
AR_East Kameng,14,5195,38
AR_East Kameng,15,5214,1392
AR_East Kameng,16,3461,2932
AR_East Siang,10,919,76
AR_East Siang,11,1647,891
AR_East Siang,12,8343,1464
AR_East Siang,13,6560,6033
AR_East Siang,14,5425,35
AR_East Siang,15,25956,3016
AR_East Siang,16,2471,4565
AR_Kamle,10,168,0
AR_Kamle,11,91,142
AR_Kamle,12,485,107
AR_Kamle,13,969,286
AR_Kamle,14,888,2
AR_Kamle,15,2143,269
AR_Kamle,16,1455,731
AR_Kra Daadi,10,205,0
AR_Kra Daadi,11,177,218
AR_Kra Daadi,12,764,83
AR_Kra Daadi,13,664,416
AR_Kra Daadi,14,1527,12
AR_Kra Daadi,15,1749,182
AR_Kra Daadi,16,751,830
AR_Kurung Kumey,10,467,0
AR_Kurung Kumey,11,310,276
AR_Kurung Kumey,12,2004,231
AR_Kurung Kumey,13,913,1415
AR_Kurung Kumey,14,1070,27
AR_Kurung Kumey,15,2270,350
AR_Kurung Kumey,16,1540,548
AR_Lepa Rada,10,602,0
AR_Lepa Rada,11,1070,550
AR_Lepa Rada,12,1875,638
AR_Lepa Rada,13,1326,1325
AR_Lepa Rada,14,1613,8
AR_Lepa Rada,15,5398,1183
AR_Lepa Rada,16,1072,1255
AR_Lohit,10,534,0
AR_Lohit,11,1354,381
AR_Lohit,12,2120,634
AR_Lohit,13,3111,968
AR_Lohit,14,3895,55
AR_Lohit,15,12351,1767
AR_Lohit,16,4521,2905
AR_Longding,10,396,61
AR_Longding,11,1161,187
AR_Longding,12,849,686
AR_Longding,13,1758,614
AR_Longding,14,3758,140
AR_Longding,15,7626,370
AR_Longding,16,2421,1207
AR_Lower Dibang Valley,10,225,0
AR_Lower Dibang Valley,11,1252,278
AR_Lower Dibang Valley,12,3590,992
AR_Lower Dibang Valley,13,3807,1267
AR_Lower Dibang Valley,14,3541,45
AR_Lower Dibang Valley,15,13632,2974
AR_Lower Dibang Valley,16,3679,2546
AR_Lower Siang,10,179,0
AR_Lower Siang,11,550,288
AR_Lower Siang,12,1033,361
AR_Lower Siang,13,2711,438
AR_Lower Siang,14,1882,18
AR_Lower Siang,15,5832,1189
AR_Lower Siang,16,3505,2273
AR_Lower Subansiri,10,554,79
AR_Lower Subansiri,11,1151,616
AR_Lower Subansiri,12,3553,853
AR_Lower Subansiri,13,2947,2505
AR_Lower Subansiri,14,5136,12
AR_Lower Subansiri,15,8186,1297
AR_Lower Subansiri,16,3285,2789
AR_Namsai,10,742,0
AR_Namsai,11,2253,849
AR_Namsai,12,3779,1201
AR_Namsai,13,7938,2457
AR_Namsai,14,7459,33
AR_Namsai,15,29601,2311
AR_Namsai,16,6074,5756
AR_Pakke Kessang,10,248,0
