districtid,weekid,dose 1,dose 2
AN_Nicobars,44,0,0
AN_Nicobars,45,206,0
AN_Nicobars,46,78,0
AN_Nicobars,47,59,0
AN_Nicobars,48,17,0
AN_Nicobars,49,36,40
AN_Nicobars,50,171,204
AN_Nicobars,51,81,6
AN_Nicobars,52,99,54
AN_Nicobars,53,395,7
AN_Nicobars,54,626,85
AN_Nicobars,55,457,14
AN_Nicobars,56,1682,85
AN_Nicobars,57,2604,48
AN_Nicobars,58,1292,123
AN_Nicobars,59,356,227
AN_Nicobars,60,161,751
AN_Nicobars,61,39,261
AN_Nicobars,62,119,0
AN_Nicobars,63,161,0
AN_Nicobars,64,10,1
AN_Nicobars,65,70,0
AN_Nicobars,66,1193,1
AN_Nicobars,67,3719,51
AN_Nicobars,68,2059,1509
AN_Nicobars,69,433,2375
AN_Nicobars,70,2646,1131
AN_Nicobars,71,1636,653
AN_Nicobars,72,1048,286
AN_Nicobars,73,465,85
AN_Nicobars,74,163,113
AN_North and Middle Andaman,44,0,0
AN_North and Middle Andaman,45,390,0
AN_North and Middle Andaman,46,599,0
AN_North and Middle Andaman,47,123,0
AN_North and Middle Andaman,48,1,0
AN_North and Middle Andaman,49,43,367
AN_North and Middle Andaman,50,280,483
AN_North and Middle Andaman,51,391,42
AN_North and Middle Andaman,52,190,50
AN_North and Middle Andaman,53,499,33
AN_North and Middle Andaman,54,329,124
AN_North and Middle Andaman,55,982,72
AN_North and Middle Andaman,56,3277,148
AN_North and Middle Andaman,57,15367,318
AN_North and Middle Andaman,58,5847,330
AN_North and Middle Andaman,59,1196,380
AN_North and Middle Andaman,60,276,510
AN_North and Middle Andaman,61,260,411
AN_North and Middle Andaman,62,935,12
AN_North and Middle Andaman,63,1089,2
AN_North and Middle Andaman,64,357,7
AN_North and Middle Andaman,65,901,2
AN_North and Middle Andaman,66,1329,1
AN_North and Middle Andaman,67,5036,152
AN_North and Middle Andaman,68,5541,2730
AN_North and Middle Andaman,69,1452,13236
AN_North and Middle Andaman,70,4895,6202
AN_North and Middle Andaman,71,5142,1787
AN_North and Middle Andaman,72,6386,823
AN_North and Middle Andaman,73,279,360
AN_North and Middle Andaman,74,4651,699
AN_South Andaman,44,23,0
AN_South Andaman,45,301,0
AN_South Andaman,46,463,0
AN_South Andaman,47,538,0
AN_South Andaman,48,242,0
AN_South Andaman,49,1588,539
AN_South Andaman,50,871,327
AN_South Andaman,51,1787,202
AN_South Andaman,52,2816,426
AN_South Andaman,53,962,831
AN_South Andaman,54,1001,1260
AN_South Andaman,55,1354,57
AN_South Andaman,56,6906,114
AN_South Andaman,57,19617,632
AN_South Andaman,58,12206,2276
AN_South Andaman,59,5654,1184
AN_South Andaman,60,3200,1180
AN_South Andaman,61,2120,929
AN_South Andaman,62,2493,14
AN_South Andaman,63,3462,8
AN_South Andaman,64,3287,49
AN_South Andaman,65,2766,127
AN_South Andaman,66,2971,152
AN_South Andaman,67,13373,592
AN_South Andaman,68,8401,4233
AN_South Andaman,69,4881,16103
AN_South Andaman,70,7036,13378
AN_South Andaman,71,5267,6839
AN_South Andaman,72,7267,3964
AN_South Andaman,73,6858,2254
AN_South Andaman,74,12874,2226
AP_Anantapur,44,287,0
AP_Anantapur,45,3802,0
AP_Anantapur,46,3115,0
AP_Anantapur,47,5029,0
AP_Anantapur,48,3090,730
AP_Anantapur,49,7823,6535
AP_Anantapur,50,12487,2936
AP_Anantapur,51,5747,1603
AP_Anantapur,52,11607,1665
AP_Anantapur,53,36732,2275
AP_Anantapur,54,76134,8658
AP_Anantapur,55,41180,2254
AP_Anantapur,56,56584,3931
AP_Anantapur,57,36573,2764
AP_Anantapur,58,63040,33895
AP_Anantapur,59,49088,38962
AP_Anantapur,60,28427,54745
AP_Anantapur,61,4609,11140
AP_Anantapur,62,5383,5770
AP_Anantapur,63,117444,7162
AP_Anantapur,64,60972,8832
AP_Anantapur,65,50427,8729
AP_Anantapur,66,25728,736
AP_Anantapur,67,122622,21682
AP_Anantapur,68,105115,28536
AP_Anantapur,69,19108,979
AP_Anantapur,70,85573,93324
AP_Anantapur,71,29879,59407
AP_Anantapur,72,84350,66175
AP_Anantapur,73,107455,64406
AP_Anantapur,74,104964,59515
AP_Chittoor,44,424,0
AP_Chittoor,45,5540,0
AP_Chittoor,46,5056,0
AP_Chittoor,47,11874,0
AP_Chittoor,48,7110,340
AP_Chittoor,49,8949,6661
AP_Chittoor,50,11346,3951
AP_Chittoor,51,13430,4543
AP_Chittoor,52,17754,6309
AP_Chittoor,53,53306,4930
AP_Chittoor,54,75213,5476
AP_Chittoor,55,54834,3539
AP_Chittoor,56,50493,9503
AP_Chittoor,57,69936,7093
AP_Chittoor,58,56746,49413
AP_Chittoor,59,62590,40254
AP_Chittoor,60,18804,39680
AP_Chittoor,61,2349,9929
AP_Chittoor,62,4244,19053
AP_Chittoor,63,141915,3213
AP_Chittoor,64,72600,18788
AP_Chittoor,65,51933,2287
AP_Chittoor,66,32733,3007
AP_Chittoor,67,155841,30046
AP_Chittoor,68,106254,24087
AP_Chittoor,69,10327,2505
AP_Chittoor,70,88924,49385
AP_Chittoor,71,19278,64035
AP_Chittoor,72,79977,149687
AP_Chittoor,73,153299,76380
AP_Chittoor,74,122512,6770
AP_East Godavari,44,1012,0
AP_East Godavari,45,11148,0
AP_East Godavari,46,9677,0
AP_East Godavari,47,13061,0
AP_East Godavari,48,5468,301
AP_East Godavari,49,6711,4189
AP_East Godavari,50,9612,7603
AP_East Godavari,51,14003,7046
AP_East Godavari,52,27104,6763
AP_East Godavari,53,53331,6364
AP_East Godavari,54,61245,7423
AP_East Godavari,55,38013,2478
AP_East Godavari,56,62966,14795
AP_East Godavari,57,72392,10523
AP_East Godavari,58,44552,61242
AP_East Godavari,59,52050,37828
AP_East Godavari,60,11738,30496
AP_East Godavari,61,4967,8374
AP_East Godavari,62,3298,26204
AP_East Godavari,63,196451,17126
AP_East Godavari,64,81984,4767
AP_East Godavari,65,123698,1250
AP_East Godavari,66,60655,572
AP_East Godavari,67,191003,17470
AP_East Godavari,68,152745,22813
AP_East Godavari,69,39974,39850
AP_East Godavari,70,101683,57558
AP_East Godavari,71,54724,51655
AP_East Godavari,72,182868,56708
AP_East Godavari,73,188187,37474
AP_East Godavari,74,51170,13601
AP_Guntur,44,303,0
AP_Guntur,45,3174,0
AP_Guntur,46,5396,0
AP_Guntur,47,6811,0
AP_Guntur,48,6595,1086
AP_Guntur,49,13785,5895
AP_Guntur,50,13238,3060
AP_Guntur,51,12115,3825
AP_Guntur,52,14562,5088
AP_Guntur,53,33485,7243
AP_Guntur,54,51973,7934
AP_Guntur,55,47332,5396
AP_Guntur,56,63977,9129
AP_Guntur,57,68230,6355
AP_Guntur,58,61606,42091
AP_Guntur,59,60285,21237
AP_Guntur,60,29194,32102
AP_Guntur,61,7299,22036
AP_Guntur,62,9247,15162
AP_Guntur,63,152440,22906
AP_Guntur,64,81969,9366
AP_Guntur,65,88154,7647
AP_Guntur,66,58124,8600
AP_Guntur,67,182062,28971
AP_Guntur,68,124702,28917
AP_Guntur,69,40069,12451
AP_Guntur,70,125905,60879
AP_Guntur,71,38329,56945
AP_Guntur,72,126988,64637
AP_Guntur,73,141089,60748
AP_Guntur,74,90097,42735
AP_Krishna,44,144,0
AP_Krishna,45,4393,0
AP_Krishna,46,5503,0
AP_Krishna,47,7259,0
AP_Krishna,48,7360,525
AP_Krishna,49,5112,6561
AP_Krishna,50,10344,4324
AP_Krishna,51,10622,3201
AP_Krishna,52,21069,6327
AP_Krishna,53,42785,4674
AP_Krishna,54,51408,6327
AP_Krishna,55,48922,4496
AP_Krishna,56,65440,6132
AP_Krishna,57,83044,4742
AP_Krishna,58,50683,49445
AP_Krishna,59,58323,35153
AP_Krishna,60,20323,42632
AP_Krishna,61,5469,37842
AP_Krishna,62,7482,20487
AP_Krishna,63,168626,11410
AP_Krishna,64,86588,5265
AP_Krishna,65,128215,5890
AP_Krishna,66,56532,3695
AP_Krishna,67,204267,27920
AP_Krishna,68,99712,41564
AP_Krishna,69,29328,19280
AP_Krishna,70,40128,63668
AP_Krishna,71,85962,47349
AP_Krishna,72,127294,45350
AP_Krishna,73,153529,32553
AP_Krishna,74,70395,20777
AP_Kurnool,44,214,0
AP_Kurnool,45,3572,0
AP_Kurnool,46,3057,0
AP_Kurnool,47,9757,0
AP_Kurnool,48,4804,507
AP_Kurnool,49,6159,5033
AP_Kurnool,50,6973,2790
AP_Kurnool,51,6273,3637
AP_Kurnool,52,11088,3614
AP_Kurnool,53,30788,4010
AP_Kurnool,54,59180,3822
AP_Kurnool,55,39595,3154
AP_Kurnool,56,67498,5689
AP_Kurnool,57,43961,3888
AP_Kurnool,58,37187,41220
AP_Kurnool,59,43758,28287
AP_Kurnool,60,12550,35190
AP_Kurnool,61,3352,13041
AP_Kurnool,62,9545,14680
AP_Kurnool,63,108733,4713
AP_Kurnool,64,62562,4565
AP_Kurnool,65,60533,1417
AP_Kurnool,66,28129,416
AP_Kurnool,67,119318,11516
AP_Kurnool,68,94180,20846
AP_Kurnool,69,9569,9939
AP_Kurnool,70,94945,57333
AP_Kurnool,71,29049,41838
AP_Kurnool,72,75143,79479
AP_Kurnool,73,72343,51593
AP_Kurnool,74,88877,40411
AP_Prakasam,44,202,0
AP_Prakasam,45,6383,0
AP_Prakasam,46,2615,0
AP_Prakasam,47,4817,0
AP_Prakasam,48,7876,137
AP_Prakasam,49,3414,3506
AP_Prakasam,50,6550,2843
AP_Prakasam,51,5824,1596
AP_Prakasam,52,10784,2653
AP_Prakasam,53,25546,6845
AP_Prakasam,54,44152,3720
AP_Prakasam,55,52215,4021
AP_Prakasam,56,44883,4827
AP_Prakasam,57,57871,4532
AP_Prakasam,58,37395,32415
AP_Prakasam,59,44386,34129
AP_Prakasam,60,19314,34225
AP_Prakasam,61,1626,7033
AP_Prakasam,62,17266,26542
AP_Prakasam,63,114760,7894
AP_Prakasam,64,61460,14224
AP_Prakasam,65,72663,3336
AP_Prakasam,66,24697,1243
AP_Prakasam,67,157027,17632
AP_Prakasam,68,78892,16326
AP_Prakasam,69,24046,12173
AP_Prakasam,70,96432,32374
AP_Prakasam,71,19397,31970
AP_Prakasam,72,52507,120999
AP_Prakasam,73,64084,42403
AP_Prakasam,74,72828,46193
AP_S.P.S. Nellore,44,277,0
AP_S.P.S. Nellore,45,5659,0
AP_S.P.S. Nellore,46,6518,0
AP_S.P.S. Nellore,47,14431,0
AP_S.P.S. Nellore,48,5320,656
AP_S.P.S. Nellore,49,8164,8992
AP_S.P.S. Nellore,50,8471,4880
AP_S.P.S. Nellore,51,11531,4787
AP_S.P.S. Nellore,52,13202,4419
AP_S.P.S. Nellore,53,35573,9774
AP_S.P.S. Nellore,54,44788,7970
AP_S.P.S. Nellore,55,33394,4696
AP_S.P.S. Nellore,56,42868,6163
AP_S.P.S. Nellore,57,54787,6013
AP_S.P.S. Nellore,58,30394,43730
AP_S.P.S. Nellore,59,47084,26938
AP_S.P.S. Nellore,60,24135,31388
AP_S.P.S. Nellore,61,6041,18563
AP_S.P.S. Nellore,62,6682,5596
AP_S.P.S. Nellore,63,114953,5796
AP_S.P.S. Nellore,64,55848,5349
AP_S.P.S. Nellore,65,59906,5062
AP_S.P.S. Nellore,66,29155,2188
AP_S.P.S. Nellore,67,122740,24697
AP_S.P.S. Nellore,68,55345,54629
AP_S.P.S. Nellore,69,30696,37913
AP_S.P.S. Nellore,70,61176,49403
AP_S.P.S. Nellore,71,13419,37921
AP_S.P.S. Nellore,72,97356,77812
AP_S.P.S. Nellore,73,71386,23916
AP_S.P.S. Nellore,74,46777,19438
AP_Srikakulam,44,165,0
AP_Srikakulam,45,3703,0
AP_Srikakulam,46,4355,0
AP_Srikakulam,47,14156,0
AP_Srikakulam,48,3603,713
AP_Srikakulam,49,6284,7414
AP_Srikakulam,50,4330,2380
AP_Srikakulam,51,8282,5183
AP_Srikakulam,52,12839,4627
AP_Srikakulam,53,21728,2641
AP_Srikakulam,54,24670,2067
AP_Srikakulam,55,39516,3238
AP_Srikakulam,56,50040,6822
AP_Srikakulam,57,44219,3288
AP_Srikakulam,58,29347,21652
AP_Srikakulam,59,38616,19202
AP_Srikakulam,60,9149,24813
AP_Srikakulam,61,2425,10777
AP_Srikakulam,62,2515,9004
AP_Srikakulam,63,117288,1581
AP_Srikakulam,64,61290,1293
AP_Srikakulam,65,47487,3231
AP_Srikakulam,66,55863,2318
AP_Srikakulam,67,134029,21196
AP_Srikakulam,68,62803,23839
AP_Srikakulam,69,11928,19136
AP_Srikakulam,70,47357,36410
AP_Srikakulam,71,14540,25097
AP_Srikakulam,72,58995,43982
AP_Srikakulam,73,77802,23430
AP_Srikakulam,74,19245,11638
AP_Visakhapatnam,44,527,0
AP_Visakhapatnam,45,6006,0
AP_Visakhapatnam,46,8039,0
AP_Visakhapatnam,47,7407,0
AP_Visakhapatnam,48,6649,240
AP_Visakhapatnam,49,7909,8113
AP_Visakhapatnam,50,15229,6592
AP_Visakhapatnam,51,11508,3280
AP_Visakhapatnam,52,18438,5457
AP_Visakhapatnam,53,30892,3734
AP_Visakhapatnam,54,46378,7258
AP_Visakhapatnam,55,93075,4740
AP_Visakhapatnam,56,63493,11033
AP_Visakhapatnam,57,57367,7651
AP_Visakhapatnam,58,43085,47116
AP_Visakhapatnam,59,59797,29471
AP_Visakhapatnam,60,29289,35098
AP_Visakhapatnam,61,6611,17744
AP_Visakhapatnam,62,7184,21754
AP_Visakhapatnam,63,146523,10452
AP_Visakhapatnam,64,118662,6747
AP_Visakhapatnam,65,140166,4895
AP_Visakhapatnam,66,83834,5130
AP_Visakhapatnam,67,192034,21423
