stateid,weekid,dose 1,dose 2
AN,44,23,0
AN,45,897,0
AN,46,1140,0
AN,47,720,0
AN,48,260,0
AN,49,1667,946
AN,50,1322,1014
AN,51,2259,250
AN,52,3105,530
AN,53,1856,871
AN,54,1956,1469
AN,55,2793,143
AN,56,11865,347
AN,57,37588,998
AN,58,19345,2729
AN,59,7206,1791
AN,60,3637,2441
AN,61,2419,1601
AN,62,3547,26
AN,63,4712,10
AN,64,3654,57
AN,65,3737,129
AN,66,5493,154
AN,67,22128,795
AN,68,16001,8472
AN,69,6766,31714
AN,70,14577,20711
AN,71,12045,9279
AN,72,14701,5073
AN,73,7602,2699
AN,74,17688,3038
AP,44,4216,0
AP,45,66164,0
AP,46,63191,0
AP,47,112367,0
AP,48,67569,6233
AP,49,100311,81237
AP,50,122137,50342
AP,51,117103,45307
AP,52,195605,54193
AP,53,445838,61917
AP,54,667934,73728
AP,55,604379,47066
AP,56,714537,101863
AP,57,728589,76034
AP,58,533378,528629
AP,59,631642,392788
AP,60,261632,454871
AP,61,48122,193005
AP,62,79646,180783
AP,63,1710375,133539
AP,64,956613,90939
AP,65,1025779,47528
AP,66,593828,32276
AP,67,2069992,254321
AP,68,1251921,361815
AP,69,299752,204683
AP,70,1035127,644884
AP,71,402582,537279
AP,72,1186472,917332
AP,73,1380322,567504
AP,74,1039018,345116
AR,44,65,0
AR,45,2264,0
AR,46,3748,0
AR,47,2528,0
AR,48,3201,382
AR,49,5999,3483
AR,50,5590,2619
AR,51,10871,2555
AR,52,8466,2355
AR,53,9789,3283
AR,54,10759,3237
AR,55,9030,2751
AR,56,20488,6427
AR,57,28520,6483
AR,58,23285,8943
AR,59,20709,8244
AR,60,14195,12477
AR,61,9650,7054
AR,62,23129,158
AR,63,8453,192
AR,64,21056,314
AR,65,33337,412
AR,66,58819,553
AR,67,64802,1575
AR,68,59217,7064
AR,69,51582,19106
AR,70,32037,20171
AR,71,22407,17427
AR,72,15547,12537
AR,73,15336,7688
AR,74,11220,13658
AS,44,401,0
AS,45,3660,0
AS,46,26512,0
AS,47,47925,0
AS,48,43552,2006
AS,49,31279,8584
AS,50,42047,17168
AS,51,148225,24810
AS,52,126257,31299
AS,53,87796,24516
AS,54,332813,33017
AS,55,140106,32003
AS,56,205557,76554
AS,57,59332,40762
AS,58,297490,122152
AS,59,427578,140664
AS,60,325788,103004
AS,61,285358,74338
AS,62,306857,46646
AS,63,308167,49656
AS,64,220749,20593
AS,65,374072,69556
AS,66,427672,138079
AS,67,1389486,127319
AS,68,643862,111854
AS,69,263231,50524
AS,70,671272,181569
AS,71,720674,184910
AS,72,751281,217665
AS,73,1480218,220949
AS,74,1240836,292703
BR,44,2967,0
BR,45,35442,0
BR,46,67342,0
BR,47,224576,0
BR,48,121379,55
BR,49,67654,38347
BR,50,39961,39826
BR,51,84363,106740
BR,52,429095,107410
BR,53,379926,75699
BR,54,637591,40374
BR,55,672940,25897
BR,56,1190747,104666
BR,57,941202,145577
BR,58,585058,199000
BR,59,448482,237224
BR,60,375673,359313
BR,61,875670,211098
BR,62,612349,40111
BR,63,638997,43592
BR,64,652055,65897
BR,65,948946,67327
BR,66,1439227,131631
BR,67,2036374,137168
BR,68,1215113,220262
BR,69,1158201,278383
BR,70,1671900,436012
BR,71,1098865,293284
BR,72,1899663,487583
BR,73,2393761,508959
BR,74,2221859,459602
CH,44,120,0
