stateid,vaccinateddose1ratio,vaccinateddose2ratio
AP,0.37390893552845794,0.12830906984049067
AR,0.3333041850018103,0.09605290638977197
AS,0.328715739776763,0.07182799638115957
BR,0.24176282887637102,0.04667908338268678
CH,0.695039082855654,0.23151357240987255
CT,0.29801488142284266,0.0917383864475179
DL,0.41107524740526546,0.1629708491351024
DN,1.022499763614762,0.20109600529502933
GA,0.7629624043138882,0.22619048435255684
GJ,0.3564070445627023,0.1175266081766267
HP,0.7183066344529492,0.21778517154176616
HR,0.4133572558695113,0.12688013151652083
JH,0.2687615888500265,0.06520277972173766
JK,0.45212530548390223,0.12826529164027134
KA,0.38820844280479433,0.1196904169940198
KL,0.5173220212942795,0.19929955225789714
LA,0.6910047431723474,0.2655046319757628
MH,0.35406117021329875,0.12515523749638136
ML,0.25967031459552414,0.07123657137156125
MN,0.34180686702192103,0.07911845182110475
MP,0.43230888747982854,0.08340739574555726
MZ,0.4381784277519445,0.1428236812412619
NL,0.3231631810329229,0.08488240092757046
OR,0.35759229629959993,0.10661125360334289
PB,0.2859796467173489,0.08587733747107143
PY,0.3957634643430732,0.1020730997704013
RJ,0.39074797577076775,0.12241765629171092
SK,0.820255266739494,0.25884040833506666
TG,0.20599679842779361,0.06881774640786488
TN,0.24768459630285544,0.05706498243933257
TR,0.4032167847014508,0.14640396067739145
UP,0.23417735430908415,0.0445640230617752
UT,0.5448837888096042,0.17077177618891065
WB,0.22900765441698895,0.08484438552740838
